"id","name","full_name","description","html_url","created_at","updated_at","language","forks_count","stargazers_count"
73861563,"plutus","IntersectMBO/plutus","The Plutus language implementation and tools","https://github.com/IntersectMBO/plutus","2016-11-15T22:38:43Z","2024-11-19T11:45:16Z","Haskell",479,1573
81360830,"cardano-crypto","IntersectMBO/cardano-crypto","This repository provides cryptographic libraries that are used in the Byron era of the Cardano node","https://github.com/IntersectMBO/cardano-crypto","2017-02-08T18:16:55Z","2024-11-04T04:00:21Z","C",34,68
149481615,"ouroboros-network","IntersectMBO/ouroboros-network","Specifications of network protocols and implementations of components running these protocols which support a family of Ouroboros Consesus protocols; the diffusion layer of the Cardano Node.","https://github.com/IntersectMBO/ouroboros-network","2018-09-19T16:38:43Z","2024-11-07T16:40:28Z","Haskell",86,276
150113380,"cardano-ledger","IntersectMBO/cardano-ledger","The ledger implementation and specifications of the Cardano blockchain.","https://github.com/IntersectMBO/cardano-ledger","2018-09-24T14:14:10Z","2024-11-19T12:30:09Z","Haskell",157,261
154382448,"cardano-prelude","IntersectMBO/cardano-prelude","A protolude-based custom prelude for the Cardano project","https://github.com/IntersectMBO/cardano-prelude","2018-10-23T19:06:00Z","2024-11-04T04:00:35Z","Haskell",11,16
176291950,"cardano-base","IntersectMBO/cardano-base","Code used throughout the Cardano eco-system","https://github.com/IntersectMBO/cardano-base","2019-03-18T13:27:33Z","2024-11-18T13:13:06Z","Haskell",41,96
188299874,"cardano-node","IntersectMBO/cardano-node","The core component that is used to participate in a Cardano decentralised blockchain.","https://github.com/IntersectMBO/cardano-node","2019-05-23T20:12:22Z","2024-11-19T05:36:42Z","Haskell",720,3065
211222119,"bech32","IntersectMBO/bech32","Haskell implementation of the Bech32 address format (BIP 0173).","https://github.com/IntersectMBO/bech32","2019-09-27T02:43:31Z","2024-10-19T10:21:52Z","Haskell",13,47
235273014,"cardano-launcher","IntersectMBO/cardano-launcher","Shelley cardano-node and cardano-wallet launcher for NodeJS applications","https://github.com/IntersectMBO/cardano-launcher","2020-01-21T06:40:54Z","2024-11-17T13:33:45Z","TypeScript",9,34
242097174,"cardano-addresses","IntersectMBO/cardano-addresses","Addresses and mnemonic manipulation & derivations","https://github.com/IntersectMBO/cardano-addresses","2020-02-21T09:04:23Z","2024-11-19T13:48:41Z","Haskell",46,148
242684776,"cardano-coin-selection","IntersectMBO/cardano-coin-selection","A library of algorithms for coin selection and fee balancing.","https://github.com/IntersectMBO/cardano-coin-selection","2020-02-24T08:36:09Z","2024-05-13T18:14:33Z","Haskell",9,19
243388274,"cardano-db-sync","IntersectMBO/cardano-db-sync","A component that follows the Cardano chain and stores blocks and transactions in PostgreSQL","https://github.com/IntersectMBO/cardano-db-sync","2020-02-26T23:34:13Z","2024-11-18T09:13:19Z","Haskell",161,292
253565756,"cardano-transactions","IntersectMBO/cardano-transactions","Library utilities for constructing and signing Cardano transactions.","https://github.com/IntersectMBO/cardano-transactions","2020-04-06T17:13:57Z","2024-09-26T21:29:55Z","Haskell",7,26
286954688,"cardano-node-tests","IntersectMBO/cardano-node-tests","System and end-to-end (E2E) tests for cardano-node.","https://github.com/IntersectMBO/cardano-node-tests","2020-08-12T08:06:11Z","2024-11-19T13:45:40Z","Python",29,55
351609099,"Win32-network","IntersectMBO/Win32-network","Networking library for Windows","https://github.com/IntersectMBO/Win32-network","2021-03-25T23:57:40Z","2024-06-04T16:12:57Z","Haskell",6,4
362086263,"essential-cardano","IntersectMBO/essential-cardano","Repository for the Essential Cardano list","https://github.com/IntersectMBO/essential-cardano","2021-04-27T11:23:32Z","2024-10-07T22:54:03Z",,291,742
419660128,"plutus-apps","IntersectMBO/plutus-apps","The Plutus application platform","https://github.com/IntersectMBO/plutus-apps","2021-10-21T09:27:28Z","2024-10-09T17:39:03Z","Haskell",214,306
478204076,"cardano-world","IntersectMBO/cardano-world","Cardano world provides preprod and preview cardano networks, configuration documentation and miscellaneous automation.","https://github.com/IntersectMBO/cardano-world","2022-04-05T16:04:45Z","2024-09-03T20:47:36Z","Nix",21,30
511140824,"formal-ledger-specifications","IntersectMBO/formal-ledger-specifications","Formal specifications of the cardano ledger","https://github.com/IntersectMBO/formal-ledger-specifications","2022-07-06T13:06:07Z","2024-11-19T12:08:44Z","Agda",13,37
527735453,"cardano-haskell-packages","IntersectMBO/cardano-haskell-packages","Metadata for Cardano's Haskell package repository","https://github.com/IntersectMBO/cardano-haskell-packages","2022-08-22T21:19:53Z","2024-11-12T08:48:47Z","Shell",27,34
527739062,"cardano-updates","IntersectMBO/cardano-updates","Regular updates from the Cardano developer team","https://github.com/IntersectMBO/cardano-updates","2022-08-22T21:33:50Z","2024-11-19T02:44:18Z","Shell",16,10
560526101,"libsodium","IntersectMBO/libsodium","A modern, portable, easy to use crypto library.","https://github.com/IntersectMBO/libsodium","2022-11-01T17:36:42Z","2024-11-03T18:42:59Z","C",5,5
574934335,"ouroboros-consensus","IntersectMBO/ouroboros-consensus","Implementation of a Consensus Layer for the Ouroboros family of protocols","https://github.com/IntersectMBO/ouroboros-consensus","2022-12-06T11:54:50Z","2024-11-19T08:28:27Z","Haskell",23,36
622833385,"cardano-api","IntersectMBO/cardano-api","Cardano API","https://github.com/IntersectMBO/cardano-api","2023-04-03T06:50:10Z","2024-11-19T13:35:43Z","Haskell",23,26
624461519,"antaeus","IntersectMBO/antaeus","Cardano end-to-end testing framework for Haskell APIs","https://github.com/IntersectMBO/antaeus","2023-04-06T14:15:34Z","2024-11-04T04:00:42Z","Haskell",2,10
